Parameter,poc_r_init,poc_l_init,doc_r_init,doc_l_init,docr_inflow,docl_inflow,pocr_inflow,pocl_inflow,pmax,resp_poc_r,resp_poc_l,resp_doc_r,resp_doc_l,resp_sed_epi,resp_sed_hypo,k_mm_do,c_w,c_poc_r,c_poc_l,c_doc_r,c_doc_l,ice_transmit,c_npp_split,ip,k_atm,k_winter_adjust,k_pocr_epi,k_pocl_epi,k_pocr_hypo,k_pocl_hypo,theta_npp,theta_resp,rt,albedo
Description,initial concentration of recalcitrant POC,initial concentration of labile  POC,initial concentration of recalcitrant DOC,initial concentration of labile DOC,concentration of inflow recalcitrant DOC ,concentration of inflow labile DOC ,concentration of inflow recalcitrant POC ,concentration of inflow labile POC ,Maximum daily productivity ,respiration rate of recalcitrant POC,respiration rate of labile POC,respiration rate of recalcitrant DOC,respiration rate of labile DOC,respiration rate of epilimnetic sediments (parameter no longer used in model),respiration rate of hypolimnetic  sediments,Michaelis-Menten DO half saturation coefficient ,Fitting coefficient for light extinction in water,Fitting coefficient for light extinction of recalcitrant POC,Fitting coefficient for light extinction of labile POC,Fitting coefficient for light extinction of recalcitrant DOC,Fitting coefficient for light extinction of labile DOC,Coefficient for percent of light transmitted through ice,Ratio of DOC to POC production from NPP,Slope of the irradiance/productivity curve,piston velocity for atmospheric exchange,Atmospheric gas exchange adjustmenet during ice covered conditions,Piston velocity settling rate of epilimnetic recalcitrant POC,Piston velocity settling rate of epilimnetic labile POC,Piston velocity settling rate of hypolimnetic recalcitrant POC,Piston velocity settling rate of hypolimnetic labile POC,Temperature scaling coefficient for NPP,Temperature scaling coefficient for respiration,Lake Residence Time,percentage of short wave radiation reflected off of lake surface
Unit,g/m3,g/m3,g/m3,g/m3,g/m3,g/m3,g/m3,g/m3,g/m3/day,1/day,1/day,1/day,1/day,1/day,1/day,Unitless,1/m,m2/g,m2/g,m2/g,m2/g,Unitless,Unitless,Unitless,m/day,Unitless,m/day,m/day,m/day,m/day,Unitless,Unitless,years,Unitless
