"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"1981-04-23",2,"pH",7.56
"1981-06-03",2,"pH",7.66
"1981-06-03",4,"pH",7.57
"1981-06-03",5.5,"pH",6.8
"1981-07-28",0,"pH",7.97
"1981-07-28",2,"pH",8.02
"1981-07-28",4,"pH",8.02
"1981-07-28",6,"pH",6.68
"1981-07-28",7,"pH",6.65
"1981-08-27",0,"pH",8.65
"1981-08-27",2,"pH",8.68
"1981-08-27",4,"pH",8.08
"1981-08-27",6,"pH",6.73
"1981-08-27",7,"pH",6.67
"1981-09-26",0,"pH",7.39
"1981-09-26",2,"pH",7.37
"1981-09-26",4,"pH",7.38
"1981-09-26",6,"pH",7.13
"1981-09-26",7,"pH",6.8
"1982-01-26",2,"pH",7.09
"1982-01-26",7,"pH",6.77
"1982-02-23",2,"pH",7.04
"1982-02-23",7,"pH",6.78
"1982-04-05",2,"pH",6.86
"1982-04-05",5,"pH",6.75
"1982-04-05",7,"pH",6.72
"1982-05-11",0,"pH",7.76
"1982-05-11",5,"pH",7.06
"1982-05-11",6,"pH",6.94
"1982-05-11",7,"pH",6.76
"1982-05-25",0.5,"pH",8.08
"1982-05-25",4,"pH",8.04
"1982-05-25",5,"pH",7
"1982-05-25",7,"pH",6.68
"1982-06-09",0.5,"pH",8
"1982-06-09",4,"pH",7.71
"1982-06-09",5,"pH",6.85
"1982-06-09",7,"pH",6.74
"1982-06-25",0.5,"pH",8.05
"1982-06-25",5,"pH",7.69
"1982-06-25",6,"pH",6.9
"1982-06-25",7,"pH",6.76
"1982-07-05",0.5,"pH",8.43
"1982-07-05",5,"pH",8.54
"1982-07-05",6,"pH",6.88
"1982-07-05",7,"pH",6.8
"1982-07-21",0.5,"pH",8.15
"1982-07-21",3,"pH",8.19
"1982-07-21",6,"pH",6.81
"1982-07-21",7,"pH",6.74
"1982-08-05",0.5,"pH",8.48
"1982-08-05",4,"pH",7.7
"1982-08-05",6,"pH",6.88
"1982-08-05",7,"pH",6.82
"1982-08-16",0,"pH",8.47
"1982-08-16",3,"pH",8.6
"1982-08-16",5,"pH",7.37
"1982-08-16",7,"pH",6.83
"1982-09-08",0,"pH",7.67
"1982-09-08",4,"pH",7.51
"1982-09-08",6,"pH",7.01
"1982-09-08",7,"pH",6.74
"1982-09-21",0,"pH",7.39
"1982-09-21",5,"pH",7.4
"1982-09-21",6,"pH",7.41
"1982-09-21",7,"pH",7.42
"1982-10-05",0,"pH",7.65
"1982-10-05",4,"pH",7.5
"1982-10-05",7,"pH",7.14
"1982-10-22",0,"pH",7.28
"1982-10-22",4,"pH",7.29
"1982-10-22",7,"pH",7.37
"1982-11-08",0,"pH",7.32
"1982-11-08",4,"pH",7.35
"1982-11-08",7,"pH",7.33
"1982-11-30",0,"pH",7.33
"1982-11-30",4,"pH",7.35
"1982-11-30",7,"pH",7.08
"1983-01-17",1,"pH",7.02
"1983-01-17",4,"pH",6.93
"1983-01-17",4,"pH",6.95
"1983-01-17",7,"pH",6.82
"1983-02-18",1,"pH",7.05
"1983-02-18",1,"pH",7.03
"1983-02-18",4,"pH",6.83
"1983-02-18",7,"pH",6.8
"1983-03-23",1,"pH",6.92
"1983-03-23",1,"pH",6.93
"1983-03-23",4,"pH",6.73
"1983-03-23",7,"pH",6.8
"1983-05-10",1,"pH",7.36
"1983-05-10",1,"pH",7.5
"1983-05-10",4,"pH",7.34
"1983-05-10",7,"pH",6.95
"1983-05-25",0,"pH",7.41
"1983-05-25",4,"pH",7.4
"1983-05-25",4,"pH",7.39
"1983-05-25",6,"pH",7.35
"1983-05-25",7,"pH",6.67
"1983-06-08",0,"pH",7.24
"1983-06-08",0,"pH",7.45
"1983-06-08",4,"pH",7.35
"1983-06-08",6,"pH",6.75
"1983-06-08",7,"pH",7.04
"1983-06-22",0,"pH",7.72
"1983-06-22",2,"pH",7.74
"1983-06-22",2,"pH",7.71
"1983-06-22",4,"pH",7.67
"1983-06-22",7,"pH",6.72
"1983-07-05",0,"pH",7.63
"1983-07-05",4,"pH",7.56
"1983-07-05",6,"pH",6.75
"1983-07-05",6,"pH",6.75
"1983-07-05",7,"pH",6.72
"1983-07-20",0,"pH",7.99
"1983-07-20",2,"pH",8.16
"1983-07-20",2,"pH",8.11
"1983-07-20",4,"pH",7.56
"1983-07-20",7,"pH",6.69
"1983-08-04",0,"pH",8.07
"1983-08-04",3,"pH",8.08
"1983-08-04",3,"pH",8.07
"1983-08-04",6,"pH",6.78
"1983-08-04",7,"pH",6.75
"1983-08-15",0,"pH",8.15
"1983-08-15",2,"pH",8.24
"1983-08-15",2,"pH",8.22
"1983-08-15",6,"pH",6.86
"1983-08-15",7,"pH",6.77
"1983-09-09",0,"pH",7.83
"1983-09-09",0,"pH",7.85
"1983-09-09",5,"pH",7.11
"1983-09-09",6,"pH",6.78
"1983-09-09",7,"pH",6.67
"1983-09-29",0,"pH",8.24
"1983-09-29",2,"pH",8.07
"1983-09-29",3,"pH",6.96
"1983-09-29",4,"pH",7.25
"1983-09-29",4,"pH",7.34
"1983-09-29",7,"pH",7.05
"1983-10-18",0,"pH",7.31
"1983-10-18",4,"pH",7.31
"1983-10-18",7,"pH",7.31
"1983-10-18",7,"pH",7.32
"1983-11-16",0,"pH",7.56
"1983-11-16",0,"pH",7.56
"1983-11-16",4,"pH",7.56
"1983-11-16",7,"pH",7.53
"1984-01-06",0,"pH",7.09
"1984-01-06",4,"pH",6.97
"1984-01-06",4,"pH",6.97
"1984-01-06",7,"pH",6.81
"1984-02-29",0,"pH",6.94
"1984-02-29",0,"pH",6.95
"1984-02-29",4,"pH",6.81
"1984-02-29",7,"pH",6.76
"1984-04-03",0,"pH",6.78
"1984-04-03",4,"pH",6.79
"1984-04-03",7,"pH",6.74
"1984-04-03",7,"pH",6.73
"1984-05-09",0,"pH",7.49
"1984-05-09",4,"pH",7.56
"1984-05-09",7,"pH",7.56
"1984-05-09",7,"pH",7.56
"1984-05-23",0,"pH",7.74
"1984-05-23",4,"pH",7.67
"1984-05-23",6,"pH",7.21
"1984-05-23",7,"pH",6.88
"1984-05-23",7,"pH",6.87
"1984-06-05",0,"pH",8.03
"1984-06-05",4,"pH",7.83
"1984-06-05",4,"pH",7.85
"1984-06-05",6,"pH",6.97
"1984-06-05",7,"pH",6.74
"1984-06-21",0,"pH",8.04
"1984-06-21",3,"pH",7.81
"1984-06-21",3,"pH",7.74
"1984-06-21",5,"pH",7.22
"1984-06-21",7,"pH",6.84
"1984-07-03",0,"pH",8.16
"1984-07-03",3,"pH",8.16
"1984-07-03",3,"pH",8.13
"1984-07-03",5,"pH",7.47
"1984-07-03",7,"pH",6.9
"1984-07-18",0,"pH",7.81
"1984-07-18",4,"pH",7.72
"1984-07-18",4,"pH",7.72
"1984-07-18",6,"pH",6.9
"1984-07-18",7,"pH",6.84
"1984-08-02",0,"pH",8.52
"1984-08-02",4,"pH",8.2
"1984-08-02",4,"pH",8.19
"1984-08-02",6,"pH",6.87
"1984-08-02",7,"pH",6.88
"1984-08-14",0,"pH",8.51
"1984-08-14",0,"pH",8.58
"1984-08-14",4,"pH",7.93
"1984-08-14",6,"pH",6.97
"1984-08-14",7,"pH",6.88
"1984-09-06",0,"pH",7.76
"1984-09-06",0,"pH",7.79
"1984-09-06",4,"pH",7.61
"1984-09-06",6,"pH",6.92
"1984-09-06",7,"pH",6.77
"1984-09-24",0,"pH",7.7
"1984-09-24",4,"pH",7.55
"1984-09-24",4,"pH",7.54
"1984-09-24",6,"pH",7.5
"1984-09-24",7,"pH",7.1
"1984-10-15",0,"pH",7.51
"1984-10-15",4,"pH",7.38
"1984-10-15",4,"pH",7.39
"1984-10-15",7,"pH",6.93
"1984-11-08",0,"pH",7.66
"1984-11-08",4,"pH",7.63
"1984-11-08",4,"pH",7.62
"1984-11-08",7,"pH",7.61
"1985-01-07",0,"pH",6.92
"1985-01-07",4,"pH",7.01
"1985-01-07",4,"pH",6.99
"1985-01-07",7,"pH",6.8
"1985-02-25",0.5,"pH",6.84
"1985-02-25",4,"pH",6.77
"1985-02-25",4,"pH",6.75
"1985-02-25",7,"pH",6.71
"1985-03-27",0.5,"pH",6.81
"1985-03-27",0.5,"pH",6.82
"1985-03-27",4,"pH",6.75
"1985-03-27",7,"pH",6.71
"1985-04-30",0,"pH",7.42
"1985-04-30",3,"pH",7.38
"1985-04-30",5,"pH",7.03
"1985-04-30",5,"pH",7.02
"1985-04-30",7,"pH",6.88
"1985-05-16",0,"pH",7.56
"1985-05-16",4,"pH",7.6
"1985-05-16",4,"pH",7.57
"1985-05-16",6,"pH",6.78
"1985-05-16",7,"pH",6.74
"1985-05-28",0,"pH",7.92
"1985-05-28",0,"pH",7.9
"1985-05-28",3,"pH",7.63
"1985-05-28",5,"pH",7.05
"1985-05-28",7,"pH",6.76
"1985-06-11",0,"pH",7.97
"1985-06-11",0,"pH",7.96
"1985-06-11",5,"pH",7.49
"1985-06-11",6,"pH",6.99
"1985-06-11",7,"pH",6.8
"1985-06-24",0,"pH",7.65
"1985-06-24",3,"pH",7.66
"1985-06-24",3,"pH",7.67
"1985-06-24",6,"pH",7.54
"1985-06-24",7,"pH",6.87
"1985-07-11",0,"pH",8.09
"1985-07-11",0,"pH",8.1
"1985-07-11",4,"pH",7.48
"1985-07-11",6,"pH",6.8
"1985-07-11",7,"pH",6.82
"1985-07-23",0,"pH",8.27
"1985-07-23",0,"pH",8.31
"1985-07-23",4,"pH",8.19
"1985-07-23",6,"pH",6.84
"1985-07-23",7,"pH",6.77
"1985-08-07",0,"pH",8.49
"1985-08-07",0,"pH",8.45
"1985-08-07",4,"pH",8.44
"1985-08-07",6,"pH",6.84
"1985-08-07",7,"pH",6.82
"1985-08-19",0,"pH",7.47
"1985-08-19",0,"pH",7.49
"1985-08-19",4,"pH",7.46
"1985-08-19",7,"pH",7.45
"1985-09-12",0,"pH",7.77
"1985-09-12",4,"pH",7.67
"1985-09-12",4,"pH",7.66
"1985-09-12",7,"pH",6.86
"1985-09-30",0,"pH",7.41
"1985-09-30",4,"pH",7.41
"1985-09-30",7,"pH",7.42
"1985-09-30",7,"pH",7.43
"1985-10-22",0,"pH",7.48
"1985-10-22",4,"pH",7.41
"1985-10-22",4,"pH",7.42
"1985-10-22",7,"pH",7.06
"1985-11-11",0,"pH",7.34
"1985-11-11",4,"pH",7.33
"1985-11-11",7,"pH",7.35
"1985-11-11",7,"pH",7.35
"1986-01-16",0.5,"pH",6.78
"1986-01-16",0.5,"pH",6.78
"1986-01-16",4,"pH",6.83
"1986-01-16",7,"pH",6.77
"1986-03-03",0.5,"pH",6.79
"1986-03-03",4,"pH",6.67
"1986-03-03",7,"pH",6.82
"1986-03-03",7,"pH",6.83
"1986-03-31",0,"pH",6.8
"1986-03-31",4,"pH",6.66
"1986-03-31",4,"pH",6.67
"1986-03-31",7,"pH",6.78
"1986-04-24",0,"pH",7.65
"1986-04-24",4,"pH",7.65
"1986-04-24",4,"pH",7.64
"1986-04-24",7,"pH",7.56
"1986-05-20",0,"pH",7.69
"1986-05-20",4,"pH",7.69
"1986-05-20",6,"pH",7.31
"1986-05-20",7,"pH",6.92
"1986-06-18",0,"pH",8.06
"1986-06-18",0,"pH",8.05
"1986-06-18",4,"pH",7.74
"1986-06-18",6,"pH",7.09
"1986-06-18",7,"pH",7
"1986-07-16",0,"pH",8.25
