"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"1981-06-04",2,"pH",7.68
"1981-06-04",6,"pH",7.99
"1981-06-04",12,"pH",7.18
"1981-06-04",18,"pH",6.6
"1981-07-27",0,"pH",7.88
"1981-07-27",3,"pH",8
"1981-07-27",5,"pH",6.49
"1981-07-27",8,"pH",8.37
"1981-07-27",10,"pH",7.7
"1981-07-27",18,"pH",6.49
"1981-08-25",0,"pH",8.02
"1981-08-25",5,"pH",8.06
"1981-08-25",8,"pH",8.53
"1981-08-25",10,"pH",8.18
"1981-08-25",12,"pH",7.33
"1981-08-25",18,"pH",6.46
"1981-09-22",0,"pH",7.69
"1981-09-22",3,"pH",7.76
"1981-09-22",5,"pH",7.8
"1981-09-22",8,"pH",7.82
"1981-09-22",10,"pH",7.52
"1981-09-22",12,"pH",6.87
"1981-09-22",15,"pH",6.51
"1981-09-22",18,"pH",6.5
"1982-01-20",3,"pH",7.38
"1982-01-20",10,"pH",7.23
"1982-01-20",18,"pH",6.59
"1982-02-24",3,"pH",7.36
"1982-02-24",15,"pH",6.72
"1982-02-24",17,"pH",6.56
"1982-04-05",3,"pH",7.31
"1982-04-05",15,"pH",6.66
"1982-04-05",17.5,"pH",6.56
"1982-05-12",0,"pH",7.44
"1982-05-12",5,"pH",7.83
"1982-05-12",10,"pH",7.14
"1982-05-12",14,"pH",7.01
"1982-05-12",18,"pH",6.89
"1982-05-27",0.5,"pH",8.48
"1982-05-27",3,"pH",7.71
"1982-05-27",6,"pH",7.97
"1982-05-27",9,"pH",7.64
"1982-05-27",15,"pH",6.8
"1982-05-27",19,"pH",6.74
"1982-06-10",0.5,"pH",8.36
"1982-06-10",4,"pH",7.96
"1982-06-10",6,"pH",8.07
"1982-06-10",8,"pH",7.97
"1982-06-10",14,"pH",6.95
"1982-06-10",17,"pH",6.71
"1982-06-23",0.5,"pH",7.82
"1982-06-23",5,"pH",7.54
"1982-06-23",7,"pH",8.05
"1982-06-23",10,"pH",7.49
"1982-06-23",14,"pH",7.2
"1982-06-23",18,"pH",6.61
"1982-07-08",0.5,"pH",7.7
"1982-07-08",4,"pH",7.8
"1982-07-08",7,"pH",8.17
"1982-07-08",9,"pH",7.81
"1982-07-08",14,"pH",6.99
"1982-07-08",17,"pH",6.61
"1982-07-20",0.5,"pH",7.56
"1982-07-20",4,"pH",7.86
"1982-07-20",7,"pH",8.28
"1982-07-20",11,"pH",8.27
"1982-07-20",15,"pH",8.26
"1982-07-20",18,"pH",8.26
"1982-08-02",0.5,"pH",7.8
"1982-08-02",6,"pH",7.94
"1982-08-02",8,"pH",8.12
"1982-08-02",11,"pH",7.67
"1982-08-02",15,"pH",6.58
"1982-08-02",18,"pH",6.48
"1982-08-17",0,"pH",7.59
"1982-08-17",6,"pH",7.85
"1982-08-17",9,"pH",8.11
"1982-08-17",12,"pH",7.59
"1982-08-17",15,"pH",7.07
"1982-08-17",18,"pH",6.46
"1982-09-09",0,"pH",7.59
"1982-09-09",8,"pH",7.81
"1982-09-09",10,"pH",7.78
"1982-09-09",12,"pH",7.58
"1982-09-09",15,"pH",6.55
"1982-09-09",18,"pH",6.55
"1982-09-20",0,"pH",7.5
"1982-09-20",10,"pH",7.58
"1982-09-20",13,"pH",7.08
"1982-09-20",16,"pH",6.53
"1982-09-20",18,"pH",6.63
"1982-10-07",0,"pH",7.59
"1982-10-07",9,"pH",7.52
"1982-10-07",11,"pH",7.39
"1982-10-07",13,"pH",6.87
"1982-10-07",16,"pH",6.46
"1982-10-07",18,"pH",6.57
"1982-10-19",0,"pH",7.25
"1982-10-19",12,"pH",7.42
"1982-10-19",13,"pH",6.87
"1982-10-19",15,"pH",6.52
"1982-10-19",17,"pH",6.61
"1982-10-19",18,"pH",6.61
"1982-11-10",3,"pH",7.21
"1982-11-10",12,"pH",7.12
"1982-11-10",18,"pH",7.21
"1982-12-02",3,"pH",7.3
"1982-12-02",12,"pH",7.25
"1982-12-02",18,"pH",7.22
"1983-01-13",3,"pH",7.19
"1983-01-13",3,"pH",7.18
"1983-01-13",10,"pH",7.13
"1983-01-13",17,"pH",6.69
"1983-02-24",3,"pH",7.12
"1983-02-24",12,"pH",6.96
"1983-02-24",18,"pH",6.68
"1983-03-28",3,"pH",7.04
"1983-03-28",12,"pH",6.86
"1983-03-28",18,"pH",6.65
"1983-03-28",18,"pH",6.67
"1983-05-11",3,"pH",7.12
"1983-05-11",12,"pH",6.66
"1983-05-11",12,"pH",6.74
"1983-05-11",18,"pH",6.74
"1983-05-25",0,"pH",7.84
"1983-05-25",5,"pH",7.89
"1983-05-25",8,"pH",7.41
"1983-05-25",12,"pH",6.9
"1983-05-25",15,"pH",6.8
"1983-05-25",15,"pH",6.8
"1983-05-25",18,"pH",6.77
"1983-06-09",0,"pH",7.51
"1983-06-09",5,"pH",7.67
"1983-06-09",8,"pH",7.65
"1983-06-09",12,"pH",6.72
"1983-06-09",15,"pH",6.69
"1983-06-09",18,"pH",6.63
"1983-06-09",18,"pH",6.64
"1983-06-21",0,"pH",7.7
"1983-06-21",3,"pH",7.79
"1983-06-21",8,"pH",7.91
"1983-06-21",10,"pH",7.7
"1983-06-21",10,"pH",7.7
"1983-06-21",15,"pH",6.66
"1983-06-21",18,"pH",6.58
"1983-07-08",0,"pH",7.75
"1983-07-08",5,"pH",7.84
"1983-07-08",5,"pH",7.86
"1983-07-08",10,"pH",7.58
"1983-07-08",12,"pH",6.88
"1983-07-08",15,"pH",6.64
